,AWS,Region,Punkt,Location,Plant,start,Comment,end,year_start,year_end,lon,lat,elev
1,_0000074D,Subotica,Ljutovo,Ljutovo,Apple,03/07/2014,,12/31/2021,2014,2021,19.51398225,46.05900629,121.41
2,_00000A1D,Subotica,BackiVinogradi,Backi Vinogradi,Peach,01/01/2013,,12/31/2021,2014,2021,19.88467154,46.10951327,90.49
3,_00000DAD,Kikinda,Kikinda,Kikinda,Plum,01/01/2013,,12/31/2021,2013,2021,20.46528,45.82833,NA
4,_00000E8E,Novi Sad,Cerevic,Cerevic,Peach,NA,from 29.9.2017. to 6.3.2018. not valid,12/31/2021,2013,2021,19.655642,45.214189,151
5,_00000E98,Ruma,1-JazakJazak,1-JazakIrig-Kudos,Apple,01/01/2014,,12/31/2021,2014,2021,19.764004,45.049936,140.5
6,_00000E9A,Novi Sad,Cenej,Cenej,Apple,02/08/2013,2018 Moved from Cenej to Glozan <20 km ,12/31/2021,2013,2021,19.57559515,45.28350054,78.12
7,_00000EA1,Zrenjanin,Sutjeska,Sutjeska,Plum,01/01/2013,2020 Moved from Sutjeska to Kraisnik <10 km,12/31/2021,2013,2021,20.74562,45.4599,84
8,_00000EA9,Vrsac,CrvenaCrkva,Crvena Crkva,Plum,04/11/2013,2016 Moved from C. Crkva apple to Straza chery <10 km,12/31/2021,2013,2021,21.2817,44.9987,83
9,_00000EAE,Vrsac,Vrsac,Vrsac,Grape,01/01/2013,,12/31/2021,2013,2021,21.3168,45.1052,128
10,_00000E94,Sombor,Ridjica,Ridjica,Apple,01/01/2013,,12/31/2022,2013,2021,19.09265,45.98483,83
