"","AWS","Date","Year","Tavg","Tmax","Tmin","Prec","Vl","Rh","Tzavg","Tzmax","Tzmin"
"1","_00000A1D",2013-01-01,2013,-3.33,-0.66,-5.13,0,NA,100,NA,NA,NA
"2","_00000A1D",2013-01-02,2013,-2.71,-0.36,-4.9,0,NA,100,NA,NA,NA
"3","_00000A1D",2013-01-03,2013,1.76,7.14,-1.69,0,NA,99.66,NA,NA,NA
"4","_00000A1D",2013-01-04,2013,6.68,10.84,2.55,0,NA,97.93,NA,NA,NA
"5","_00000A1D",2013-01-05,2013,6.26,9.53,1.23,0,NA,100,NA,NA,NA
"6","_00000A1D",2013-01-06,2013,0.78,3.73,-1.56,0,NA,98.8,NA,NA,NA
"7","_00000A1D",2013-01-07,2013,-1.04,0.95,-5.49,0,NA,96.36,NA,NA,NA
"8","_00000A1D",2013-01-08,2013,-4.58,-0.44,-7.88,0,NA,96.36,NA,NA,NA
"9","_00000A1D",2013-01-09,2013,-3.22,-1.45,-4.24,0,NA,100,NA,NA,NA
"10","_00000A1D",2013-01-10,2013,-1.1,1.01,-4.29,0,NA,100,NA,NA,NA
"11","_00000A1D",2013-01-11,2013,1.05,4.21,-0.77,0.6,NA,100,NA,NA,NA
"12","_00000A1D",2013-01-12,2013,-2.05,1.42,-5.31,0,NA,95.89,NA,NA,NA
"13","_00000A1D",2013-01-13,2013,-1.28,0.63,-3.33,0,NA,100,NA,NA,NA
"14","_00000A1D",2013-01-14,2013,3.16,5.71,0.25,0,NA,100,NA,NA,NA
"15","_00000A1D",2013-01-15,2013,4.45,7.23,2.84,0,NA,100,NA,NA,NA
"16","_00000A1D",2013-01-16,2013,3.78,5.78,2.91,0,NA,100,NA,NA,NA
"17","_00000A1D",2013-01-17,2013,3.71,5.18,3.07,0,NA,100,NA,NA,NA
"18","_00000A1D",2013-01-18,2013,0.07,3.36,-1.54,0,NA,100,NA,NA,NA
"19","_00000A1D",2013-01-19,2013,-2.46,-0.81,-3.64,0,NA,100,NA,NA,NA
"20","_00000A1D",2013-01-20,2013,2.47,7.23,-1.59,0,NA,100,NA,NA,NA
"21","_00000A1D",2013-01-21,2013,9.35,12.36,6.44,0,NA,100,NA,NA,NA
"22","_00000A1D",2013-01-22,2013,2.42,7.53,-0.61,0,NA,100,NA,NA,NA
"23","_00000A1D",2013-01-23,2013,1.31,3.94,-0.73,0,NA,100,NA,NA,NA
"24","_00000A1D",2013-01-24,2013,0.77,5.37,-2.36,0,NA,100,NA,NA,NA
"25","_00000A1D",2013-01-25,2013,-0.6,0.67,-2.26,0,NA,98.47,NA,NA,NA
"26","_00000A1D",2013-01-26,2013,-1.95,-0.83,-3.79,0,NA,100,NA,NA,NA
"27","_00000A1D",2013-01-27,2013,-0.81,1.38,-2.04,0,NA,99.53,NA,NA,NA
"28","_00000A1D",2013-01-28,2013,-0.05,2.19,-1.66,0,NA,100,NA,NA,NA
"29","_00000A1D",2013-01-29,2013,1.41,5.76,-2.15,0,NA,100,NA,NA,NA
"30","_00000A1D",2013-01-30,2013,4.7,8.39,0.41,0,NA,100,NA,NA,NA
"31","_00000A1D",2013-01-31,2013,7.57,11.44,3.12,0,NA,90.51,NA,NA,NA
"32","_00000A1D",2013-02-01,2013,6.45,11.27,2.94,0,NA,93.03,NA,NA,NA
"33","_00000A1D",2013-02-02,2013,6.74,10.37,4.42,0,NA,100,NA,NA,NA
"34","_00000A1D",2013-02-03,2013,1.55,4.53,-0.81,0,NA,100,NA,NA,NA
"35","_00000A1D",2013-02-04,2013,0.83,3.76,-2.15,0,NA,100,NA,NA,NA
"36","_00000A1D",2013-02-05,2013,3.79,8.32,-0.1,0,NA,99.62,NA,NA,NA
"37","_00000A1D",2013-02-06,2013,4.74,9.09,2.11,0,NA,100,NA,NA,NA
"38","_00000A1D",2013-02-07,2013,2.32,4.72,-0.2,0,NA,99.95,NA,NA,NA
"39","_00000A1D",2013-02-08,2013,1.58,4.04,-0.24,0,NA,97.1,NA,NA,NA
"40","_00000A1D",2013-02-09,2013,-1.29,-0.2,-3.25,0,NA,100,NA,NA,NA
"41","_00000A1D",2013-02-10,2013,-1.19,1.3,-3.83,0,NA,100,NA,NA,NA
"42","_00000A1D",2013-02-11,2013,-3.57,0.3,-6.99,0,NA,100,NA,NA,NA
"43","_00000A1D",2013-02-12,2013,1.7,4.64,-3.58,0,NA,100,NA,NA,NA
"44","_00000A1D",2013-02-13,2013,4.65,7.5,1.16,0,NA,99.91,NA,NA,NA
"45","_00000A1D",2013-02-14,2013,4.3,6.31,2.55,0,NA,100,NA,NA,NA
"46","_00000A1D",2013-02-15,2013,4.55,6.96,3,0,NA,100,NA,NA,NA
"47","_00000A1D",2013-02-16,2013,4.24,7.58,1.41,0,NA,100,NA,NA,NA
"48","_00000A1D",2013-02-17,2013,1.59,3.73,-0.49,0,NA,100,NA,NA,NA
"49","_00000A1D",2013-02-18,2013,0.84,3.34,-0.88,0,NA,100,NA,NA,NA
"50","_00000A1D",2013-02-19,2013,1.47,6.26,-2.26,0,NA,93.33,NA,NA,NA
"51","_00000A1D",2013-02-20,2013,2.63,6.36,0.31,0.2,NA,93.53,NA,NA,NA
"52","_00000A1D",2013-02-21,2013,0.05,2.44,-1.4,0,NA,94.75,NA,NA,NA
"53","_00000A1D",2013-02-22,2013,-0.12,1.65,-1.4,3,NA,100,NA,NA,NA
"54","_00000A1D",2013-02-23,2013,4.13,8.39,-0.01,2.4,NA,100,NA,NA,NA
"55","_00000A1D",2013-02-24,2013,6.46,7.78,5.62,4.8,NA,100,NA,NA,NA
"56","_00000A1D",2013-02-25,2013,8.13,12,4.4,2,NA,100,NA,NA,NA
"57","_00000A1D",2013-02-26,2013,6.91,7.78,5.79,8.2,NA,100,NA,NA,NA
"58","_00000A1D",2013-02-27,2013,5.09,5.79,4.48,4.4,NA,100,NA,NA,NA
"59","_00000A1D",2013-02-28,2013,5.03,7.92,0.97,0,NA,100,NA,NA,NA
"60","_00000A1D",2013-03-01,2013,3.2,7.1,-0.83,0.2,NA,100,NA,NA,NA
"61","_00000A1D",2013-03-02,2013,3.54,8.02,-0.9,0,NA,91.46,NA,NA,NA
"62","_00000A1D",2013-03-03,2013,2.92,10.05,-2.92,0,NA,89.28,NA,NA,NA
"63","_00000A1D",2013-03-04,2013,2.74,8.74,-2.95,0,NA,86.73,NA,NA,NA
"64","_00000A1D",2013-03-05,2013,3,11.91,-6.14,0,NA,81.72,NA,NA,NA
"65","_00000A1D",2013-03-06,2013,8.84,16.16,2.46,0,NA,85.43,NA,NA,NA
"66","_00000A1D",2013-03-07,2013,9.46,12.09,7.35,0.4,NA,99.73,NA,NA,NA
"67","_00000A1D",2013-03-08,2013,11.95,20.19,3.8,0.2,NA,94.58,NA,NA,NA
"68","_00000A1D",2013-03-09,2013,12.68,17.85,8.77,2.8,NA,99.78,NA,NA,NA
"69","_00000A1D",2013-03-10,2013,11.14,15.35,8.5,7.6,NA,100,NA,NA,NA
"70","_00000A1D",2013-03-11,2013,9.01,13.89,5.58,0.2,NA,99.65,NA,NA,NA
"71","_00000A1D",2013-03-12,2013,7.65,13.12,0.35,4.8,NA,99.72,NA,NA,NA
"72","_00000A1D",2013-03-13,2013,8.83,13.41,4.15,3.2,NA,99.97,NA,NA,NA
"73","_00000A1D",2013-03-14,2013,4.69,8.23,-1.01,11,NA,100,NA,NA,NA
"74","_00000A1D",2013-03-15,2013,-2.69,-1.08,-4.35,0,NA,100,NA,NA,NA
"75","_00000A1D",2013-03-16,2013,-2.36,1.05,-7.04,0,NA,92.76,NA,NA,NA
"76","_00000A1D",2013-03-17,2013,-2.2,2.46,-8.1,0,NA,91.72,NA,NA,NA
"77","_00000A1D",2013-03-18,2013,2.71,5.37,-1.12,1.2,NA,99.72,NA,NA,NA
"78","_00000A1D",2013-03-19,2013,7.25,12.76,3.96,5.8,NA,98.82,NA,NA,NA
"79","_00000A1D",2013-03-20,2013,8.72,16.03,0.65,0,NA,90.98,NA,NA,NA
"80","_00000A1D",2013-03-21,2013,6.57,8.57,3.4,15.4,NA,100,NA,NA,NA
"81","_00000A1D",2013-03-22,2013,2.14,5.92,-0.16,0.4,NA,98.51,NA,NA,NA
"82","_00000A1D",2013-03-23,2013,0.63,3.61,-3.5,0,NA,91.96,NA,NA,NA
"83","_00000A1D",2013-03-24,2013,-2.16,0.72,-6,0,NA,68.68,NA,NA,NA
"84","_00000A1D",2013-03-25,2013,-1.24,-0.08,-2.67,0,NA,88.67,NA,NA,NA
"85","_00000A1D",2013-03-26,2013,-0.75,0.41,-2.18,3.2,NA,100,NA,NA,NA
"86","_00000A1D",2013-03-27,2013,-0.72,0.58,-2.29,1.6,NA,100,NA,NA,NA
"87","_00000A1D",2013-03-28,2013,-0.3,4.25,-7.02,0,NA,100,NA,NA,NA
"88","_00000A1D",2013-03-29,2013,4.19,7.91,0.72,4,NA,100,NA,NA,NA
"89","_00000A1D",2013-03-30,2013,8.75,14.33,4.12,12.8,NA,100,NA,NA,NA
"90","_00000A1D",2013-03-31,2013,9.09,14.85,1.79,1.6,NA,100,NA,NA,NA
"91","_00000A1D",2013-04-01,2013,4.26,9.55,-0.26,0.2,NA,92,NA,NA,NA
"92","_00000A1D",2013-04-02,2013,5.13,8.21,1.37,22.2,NA,100,NA,NA,NA
"93","_00000A1D",2013-04-03,2013,5.33,8.03,3.5,0.4,NA,100,NA,NA,NA
"94","_00000A1D",2013-04-04,2013,4.5,6.99,2.58,0,NA,100,NA,NA,NA
"95","_00000A1D",2013-04-05,2013,5.32,7.23,2.83,4,NA,100,NA,NA,NA
"96","_00000A1D",2013-04-06,2013,7.2,9.81,4.14,0.2,NA,100,NA,NA,NA
"97","_00000A1D",2013-04-07,2013,5.51,9.14,1,0,NA,99.69,NA,NA,NA
"98","_00000A1D",2013-04-08,2013,5.25,9.92,1.77,0,NA,92.13,NA,NA,NA
"99","_00000A1D",2013-04-09,2013,7.96,12,3.66,0.2,NA,99.93,NA,NA,NA
"100","_00000A1D",2013-04-10,2013,10.46,16.95,6.32,2.4,NA,96.21,NA,NA,NA
"101","_00000A1D",2013-04-11,2013,11.92,18.41,4.21,0,NA,89.26,NA,NA,NA
"102","_00000A1D",2013-04-12,2013,14.25,21.53,7.57,0.8,NA,93.96,NA,NA,NA
"103","_00000A1D",2013-04-13,2013,13.29,19.56,8.02,1,NA,84.06,NA,NA,NA
"104","_00000A1D",2013-04-14,2013,12.05,19.1,5.15,0,NA,79.25,NA,NA,NA
"105","_00000A1D",2013-04-15,2013,10.51,16.58,4.54,0,NA,84.02,NA,NA,NA
"106","_00000A1D",2013-04-16,2013,11.84,19.45,3.8,0,NA,84.22,NA,NA,NA
"107","_00000A1D",2013-04-17,2013,13.31,21.89,3.68,0,NA,77.53,NA,NA,NA
"108","_00000A1D",2013-04-18,2013,14.32,22.62,4.35,0,NA,76.69,NA,NA,NA
"109","_00000A1D",2013-04-19,2013,14.09,22.52,5.41,0.2,NA,78.56,NA,NA,NA
"110","_00000A1D",2013-04-20,2013,15.2,23.77,4.57,0,NA,80.69,NA,NA,NA
"111","_00000A1D",2013-04-21,2013,15.98,23.55,8.66,0,NA,86.81,NA,NA,NA
"112","_00000A1D",2013-04-22,2013,15.86,24.23,7.81,0,NA,87.36,NA,NA,NA
"113","_00000A1D",2013-04-23,2013,16.85,23.25,11.19,0,NA,82.33,NA,NA,NA
"114","_00000A1D",2013-04-24,2013,17.29,25.89,8.49,0,NA,76.07,NA,NA,NA
"115","_00000A1D",2013-04-25,2013,18.45,28.34,7.25,0,NA,75.68,NA,NA,NA
"116","_00000A1D",2013-04-26,2013,19.28,30.39,6.76,0,NA,76.32,NA,NA,NA
"117","_00000A1D",2013-04-27,2013,20.34,29,9.1,0,NA,72.86,NA,NA,NA
"118","_00000A1D",2013-04-28,2013,19.76,27.46,13.19,0.4,NA,79.79,NA,NA,NA
"119","_00000A1D",2013-04-29,2013,21.26,30.99,10.52,0,NA,73.68,NA,NA,NA
"120","_00000A1D",2013-04-30,2013,22.18,32.3,12.02,0,NA,76.17,NA,NA,NA
"121","_00000A1D",2013-05-01,2013,23.37,31.49,16.21,0,NA,76.7,NA,NA,NA
"122","_00000A1D",2013-05-02,2013,21.99,31.67,13.57,27.8,NA,82.88,NA,NA,NA
"123","_00000A1D",2013-05-03,2013,20.29,27.07,12.93,0,NA,88.07,NA,NA,NA
"124","_00000A1D",2013-05-04,2013,18.9,27.14,9.89,0,NA,84.92,NA,NA,NA
"125","_00000A1D",2013-05-05,2013,19.6,26.17,12.23,0,NA,84.91,NA,NA,NA
"126","_00000A1D",2013-05-06,2013,19.63,25.18,15.17,23,NA,97.21,NA,NA,NA
"127","_00000A1D",2013-05-07,2013,17.84,23.23,14.8,4.2,NA,99.91,NA,NA,NA
"128","_00000A1D",2013-05-08,2013,18.85,25.41,14.26,2.6,NA,92.74,NA,NA,NA
"129","_00000A1D",2013-05-09,2013,18.03,24.05,12.89,0,NA,88.45,NA,NA,NA
"130","_00000A1D",2013-05-10,2013,19.37,27.14,9.74,0,NA,80.26,NA,NA,NA
"131","_00000A1D",2013-05-11,2013,19.43,28.13,12.34,13.6,NA,91.58,NA,NA,NA
"132","_00000A1D",2013-05-12,2013,14.61,16.92,12.8,0,NA,100,NA,NA,NA
"133","_00000A1D",2013-05-13,2013,12.13,12.98,8.82,0.8,NA,100,NA,NA,NA
"134","_00000A1D",2013-05-14,2013,12.93,18.96,7.52,0,NA,87.8,NA,NA,NA
"135","_00000A1D",2013-05-15,2013,15.42,23.16,8.6,0,NA,89.92,NA,NA,NA
"136","_00000A1D",2013-05-16,2013,18.38,28.08,7.07,1,NA,83.02,NA,NA,NA
"137","_00000A1D",2013-05-17,2013,18.43,26.39,13.37,21,NA,97.56,NA,NA,NA
"138","_00000A1D",2013-05-18,2013,17.36,25.11,10.8,0.2,NA,90.84,NA,NA,NA
"139","_00000A1D",2013-05-19,2013,20.85,30.62,9.87,2.8,NA,86.48,NA,NA,NA
"140","_00000A1D",2013-05-20,2013,18.12,24.8,11.76,0,NA,82.14,NA,NA,NA
"141","_00000A1D",2013-05-21,2013,17.57,23.81,12.39,3,NA,81.48,NA,NA,NA
"142","_00000A1D",2013-05-22,2013,13.79,19.67,10.7,12.4,NA,99.86,NA,NA,NA
"143","_00000A1D",2013-05-23,2013,13.74,17.6,10.45,0,NA,100,NA,NA,NA
"144","_00000A1D",2013-05-24,2013,14.72,20.59,10.51,0,NA,91.48,NA,NA,NA
"145","_00000A1D",2013-05-25,2013,14.47,20.55,10.63,2,NA,90.91,NA,NA,NA
"146","_00000A1D",2013-05-26,2013,10.51,13.51,7.46,3.4,NA,100,NA,NA,NA
"147","_00000A1D",2013-05-27,2013,11.33,16.58,8.73,11.2,NA,100,NA,NA,NA
"148","_00000A1D",2013-05-28,2013,15.08,20.8,9.13,0.2,NA,97.56,NA,NA,NA
"149","_00000A1D",2013-05-29,2013,19.15,26.71,12.39,7.2,NA,93.25,NA,NA,NA
"150","_00000A1D",2013-05-30,2013,15.28,19.67,9.73,4.8,NA,100,NA,NA,NA
"151","_00000A1D",2013-05-31,2013,13.86,21.71,8.32,1,NA,94.16,NA,NA,NA
"152","_00000A1D",2013-06-01,2013,13.34,20.33,9.81,0.6,NA,99.5,NA,NA,NA
"153","_00000A1D",2013-06-02,2013,14.83,21.6,10.23,0.8,NA,98.84,NA,NA,NA
"154","_00000A1D",2013-06-03,2013,13.83,17.23,10.72,0.2,NA,100,NA,NA,NA
"155","_00000A1D",2013-06-04,2013,12.67,14.54,10.35,0.2,NA,100,NA,NA,NA
"156","_00000A1D",2013-06-05,2013,16.24,22.66,12.3,4.2,NA,99.49,NA,NA,NA
"157","_00000A1D",2013-06-06,2013,16.84,22.73,11.51,0.6,NA,99.99,NA,NA,NA
"158","_00000A1D",2013-06-07,2013,19.06,25.92,13.85,3.2,NA,97.49,NA,NA,NA
"159","_00000A1D",2013-06-08,2013,20.49,28.51,13.86,0,NA,93.5,NA,NA,NA
"160","_00000A1D",2013-06-09,2013,22.15,30.59,13.4,0,NA,89.48,NA,NA,NA
